Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Smallville,1,"Drama,Action & Adventure,Science Fiction",WB,16/10/2001,75,27,8,138
Sleepy Hollow,1,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",FOX,16/09/2013,64,29,7.6,249
Six,1,"Drama,Action & Adventure",History,18/01/2017,54,14,6.2,54
Sleeper Cell,1,"Drama,Action & Adventure",SHOWTIME,04/12/2005,65,26,7.8,57
"Sit Down, Shut Up",1,"Comedy,Animation,Action & Adventure",FOX,19/04/2009,41,18,5.2,70
Sinbad,1,"Drama,Action & Adventure,Fantasy",SyFy,08/07/2012,60,8,5.1,14
Silk,1,"Drama,Action & Adventure",BBC-1,22/02/2011,68,6,not available,not available
Shooter (2016),1,"Drama,Action & Adventure,Suspense",USA,15/11/2016,60,10,7.1,70
SEAL Team,1,"Drama,Action & Adventure",CBS,27/09/2017,57,16,6.1,64
SEAL Team Six: The Raid on Osama bin Laden,1,"Movie/Mini-Series,Action & Adventure",National Geographic Wild,04/11/2012,54,13,4.7,13
Shadowhunters,1,"Drama,Action & Adventure,Fantasy",Freeform,12/01/2016,45,9,7.1,299
Scoundrels,1,"Comedy,Action & Adventure",ABC,20/06/2010,56,18,4.9,19
Sanctuary,1,"Drama,Action & Adventure,Science Fiction",SyFy,03/10/2008,56,7,6.5,52
Scorpion,1,"Drama,Action & Adventure,Suspense,Science,Tech & Gaming",CBS,22/09/2014,48,24,5.9,267
The Dresden Files,1,"Drama,Action & Adventure,Fantasy,Suspense",SyFy,27/01/2007,55,13,7.4,59
The District,1,"Drama,Action & Adventure,Suspense",CBS,07/10/2000,54,21,not available,not available
The Dark Crystal: Age of Resistance,1,"Drama,Action & Adventure,Fantasy",Netflix,30/08/2019,82,20,8.5,118
The Dead Zone,1,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",USA,16/06/2002,65,15,6.5,6
The Company,1,"Drama,Action & Adventure,Suspense",TNT,05/08/2007,67,23,7.1,17
The Chicago Code,1,"Drama,Action & Adventure",FOX,07/02/2011,75,25,7.1,66
The Bridge (2013),2,"Drama,Action & Adventure,Suspense",FX,09/07/2014,67,13,8.2,31
The Bridge (2013),1,"Drama,Action & Adventure,Suspense",FX,10/07/2013,77,37,7.8,161
The Brink,1,"Comedy,Drama,Action & Adventure",HBO,21/06/2015,52,30,7.7,79
The Boys,1,"Drama,Action & Adventure",Prime Video,26/07/2019,74,19,8.5,232
The Blacklist,1,"Drama,Action & Adventure,Suspense",NBC,23/09/2013,74,31,7.8,499
The Brave,1,"Drama,Action & Adventure",NBC,25/09/2017,54,11,7.6,73
The Black Donnellys,1,"Drama,Action & Adventure,Suspense",NBC,26/02/2007,45,30,8.7,222
The Beast,1,"Drama,Action & Adventure",A&E,15/01/2009,51,25,8.6,22
The Bastard Executioner,1,"Drama,Action & Adventure",FX,15/09/2015,55,38,6.1,92
The Assets,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",ABC,02/01/2014,58,15,5.9,15
Texas Rising,1,"Drama,Action & Adventure",The History Channel,25/05/2015,52,12,3.3,47
The Almighty Johnsons,1,"Comedy,Action & Adventure",SyFy,07/02/2011,66,4,6.8,5
The Andromeda Strain,1,"Drama,Action & Adventure,Suspense,Science Fiction",A&E,26/05/2008,41,18,5.6,40
The 100,1,"Drama,Action & Adventure,Science Fiction",The CW,19/03/2014,63,26,6.8,646
Terra Nova,1,"Comedy,Drama,Action & Adventure,Science Fiction,Science",FOX,26/09/2011,64,28,6.2,307
Terminator: The Sarah Connor Chronicles,2,"Drama,Action & Adventure,Science Fiction",FOX,08/09/2008,67,4,6.7,106
Terminator: The Sarah Connor Chronicles,1,"Drama,Action & Adventure,Science Fiction",FOX,13/01/2008,74,24,7.3,179
Teen Wolf,1,"Drama,Action & Adventure,Horror",MTV,05/06/2011,61,14,8.5,262
Taxi Brooklyn,1,"Comedy,Drama,Action & Adventure",NBC,25/06/2014,51,15,6.3,31
Zoo,1,"Drama,Action & Adventure,Suspense,Science Fiction",CBS,30/06/2015,55,26,5.8,97
Tarzan,1,"Drama,Action & Adventure",WB,05/10/2003,45,21,not available,not available
Taken (2017),1,"Drama,Action & Adventure,Suspense",NBC,27/02/2017,46,22,4.9,39
Z Nation,1,"Drama,Action & Adventure,Horror",SyFy,12/09/2014,48,11,6.5,230
Take Two,1,"Drama,Action & Adventure",ABC,21/06/2018,53,10,6.9,35
Zero Hour,1,"Drama,Action & Adventure,Suspense",ABC,14/02/2013,39,30,5.7,60
You vs. Wild,1,"Reality,Action & Adventure,Kids,Science,Educational,Travel",Netflix,10/04/2019,51,4,7.2,6
Witchblade,1,"Action & Adventure,Fantasy,Suspense",TNT,12/06/2001,70,4,not available,not available
Wynonna Earp,1,"Drama,Action & Adventure,Fantasy,Horror",SyFy,01/04/2016,68,4,7.6,144
XIII,1,"Drama,Action & Adventure,Suspense",NBC,08/02/2009,44,6,7.2,13
Whodunnit?,1,"Drama,Reality,Action & Adventure,Suspense,Game Show",ABC,23/06/2013,43,7,7.9,78
White Collar,3,"Drama,Action & Adventure,Suspense",USA,07/06/2011,72,5,8.3,70
White Collar,1,"Drama,Action & Adventure,Suspense",USA,23/10/2009,79,21,8.9,201
Whale Wars,1,"Drama,Reality,Action & Adventure,Documentary,Science",Animal Planet,07/11/2008,71,6,5.4,61
Westworld,2,"Drama,Action & Adventure,Fantasy,Science Fiction",HBO,22/04/2018,76,29,6.9,329
Westworld,1,"Drama,Action & Adventure,Fantasy,Science Fiction",HBO,02/10/2016,74,43,8.8,1314
Watchmen (2019),1,"Drama,Action & Adventure",HBO,20/10/2019,85,35,5.8,463
The Spy,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",Netflix,06/09/2019,68,16,6.1,29
Warrior (2019),1,"Drama,Action & Adventure",Cinemax,05/04/2019,68,9,7.3,26
The State Within,1,"Drama,Action & Adventure",BBC-1,02/11/2006,68,15,7.9,11
The Shield,7,"Drama,Action & Adventure",FX,02/09/2008,85,14,9.5,146
The Shield,1,"Drama,Action & Adventure",FX,12/03/2002,92,28,9.3,178
The Shannara Chronicles,1,"Drama,Action & Adventure,Fantasy",Spike TV,05/01/2016,52,15,6.6,319
The Rook,1,"Drama,Action & Adventure,Fantasy,Suspense",Starz,30/06/2019,62,6,5.8,20
The Sarah Jane Adventures,1,"Drama,Action & Adventure,Science Fiction,Kids",BBC-1,18/04/2008,65,5,8.1,21
The Rookie,1,"Comedy,Drama,Action & Adventure",ABC,16/10/2018,64,12,7.8,50
The Red Road,1,"Drama,Action & Adventure",Sundance Channel,27/02/2014,66,25,8.6,40
The River,1,"Drama,Action & Adventure,Horror",ABC,07/02/2012,65,29,6.2,91
The Purge (2018),1,"Drama,Action & Adventure,Horror,Suspense",USA,04/09/2018,44,13,3.2,26
The Prisoner,1,"Drama,Action & Adventure,Suspense,Science Fiction",AMC,15/11/2009,45,21,3.6,82
The Player,1,"Drama,Action & Adventure",NBC,24/09/2015,43,26,7.2,56
The Philanthropist,1,"Drama,Action & Adventure",NBC,24/06/2009,60,17,7.9,55
The Passage,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",FOX,14/01/2019,60,18,7,47
The No. 1 Ladies' Detective Agency,1,"Drama,Action & Adventure,Suspense",HBO,15/03/2009,71,27,8.8,52
The Pacific,1,"Drama,Action & Adventure,Suspense",HBO,14/03/2010,86,32,7.7,235
The Outpost,1,"Drama,Action & Adventure,Fantasy",The CW,10/07/2018,39,5,6,34
The Night Shift,1,"Comedy,Drama,Action & Adventure",NBC,27/05/2014,45,16,7.8,52
The Musketeers,1,"Drama,Action & Adventure",BBC,19/01/2014,69,14,7.5,25
The Net,1,Action & Adventure,USA,19/07/1998,60,7,not available,not available
The Mandalorian,1,"Action & Adventure,Fantasy",Disney+,12/11/2019,70,29,7.8,422
The Nine,1,"Drama,Action & Adventure",ABC,04/10/2006,81,29,7.8,42
The Marshal,1,"Drama,Action & Adventure",ABC,31/01/1995,66,9,not available,not available
The Long Road Home,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",National Geographic,07/11/2017,80,8,4.7,29
The Lizzie Borden Chronicles,1,"Drama,Movie/Mini-Series,Action & Adventure,Horror",LIFETIME,05/04/2015,52,8,6.3,15
The Magnificent Seven,1,"Drama,Action & Adventure",CBS,03/01/1998,47,21,not available,not available
The Letter for the King,1,"Drama,Action & Adventure,Fantasy",Netflix,20/03/2020,55,6,3.9,10
The Librarians (2014),1,"Drama,Action & Adventure,Fantasy",ABC,07/12/2014,64,12,7.4,111
The Librarian: The Curse of the Judas Chalice,1,"Drama,Movie/Mini-Series,Action & Adventure",TNT,07/12/2008,77,6,6.8,12
The Last Ship,1,"Drama,Action & Adventure,Science Fiction",TNT,22/06/2014,60,22,7.1,220
The Last Kingdom,1,"Drama,Action & Adventure",BBC America,10/10/2015,78,15,8.3,202
The Last Man on Earth,1,"Comedy,Action & Adventure,Science Fiction",FOX,01/03/2015,72,30,7.5,268
The Last Templar,1,"Drama,Action & Adventure,Fantasy",NBC,25/01/2009,29,7,2.4,17
The Last Panthers,1,"Drama,Action & Adventure",Sundance Channel,13/04/2016,73,14,6.5,14
The I-Land,1,"Drama,Action & Adventure,Suspense",Netflix,12/09/2019,7,4,3.1,35
The Huntress,1,"Drama,Action & Adventure",USA,26/07/2000,58,9,not available,not available
The Honorable Woman,1,"Drama,Action & Adventure,Suspense",BBC Two,03/07/2014,82,24,7.9,94
The Hollow Crown,2,"Drama,Action & Adventure",PBS,11/12/2016,84,4,6.4,11
The Hollow Crown,1,"Drama,Action & Adventure",PBS,20/09/2013,91,7,6.8,48
The Goode Family,1,"Comedy,Animation,Action & Adventure",Comedy Central,27/05/2009,61,17,6.1,19
The Game (2014),1,"Drama,Movie/Mini-Series,Action & Adventure",BBC America,05/11/2014,78,9,7.6,29
The Fugitive,1,"Drama,Action & Adventure",CBS,06/10/2000,69,24,not available,not available
The Following,2,"Drama,Action & Adventure,Suspense",FOX,19/01/2014,44,9,5.7,94
The Following,1,"Drama,Action & Adventure,Suspense",FOX,21/01/2013,62,35,5.8,422
The Flash (2014),3,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,04/10/2016,80,4,6,207
The Flash (2014),1,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,07/10/2014,73,27,7.8,794
The Flash (2014),2,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,06/10/2015,81,4,7.5,291
The Gifted,1,"Drama,Action & Adventure,Fantasy,Science Fiction",FOX,02/10/2017,63,22,7.1,141
The Expanse,2,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",SyFy,01/02/2017,77,5,9.2,235
The Expanse,4,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",SyFy,13/12/2019,91,4,8.7,143
The Expanse,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",SyFy,14/12/2015,65,23,8.6,617
The Evidence,1,"Drama,Action & Adventure",ABC,22/03/2006,40,24,8.4,35
"Walker, Texas Ranger",1,"Drama,Action & Adventure",CBS,21/04/1993,45,7,7.7,13
VR.5,1,"Action & Adventure,Science Fiction",FOX,10/03/1995,63,4,not available,not available
Vikings,3,"Drama,Action & Adventure",History,19/02/2015,81,7,7.1,320
Vikings,2,"Drama,Action & Adventure",History,27/02/2014,77,11,7.5,350
Vikings,1,"Drama,Action & Adventure",History,03/03/2013,71,20,8,767
Warehouse 13,1,"Comedy,Drama,Action & Adventure,Fantasy,Science Fiction",SyFy,30/10/2018,62,17,7.5,94
Vanished,1,"Drama,Action & Adventure",FOX,21/08/2006,51,23,5,295
Valor,1,"Drama,Action & Adventure",The CW,09/10/2017,39,10,4.2,29
Van Helsing (2016),1,"Drama,Action & Adventure,Horror,Science Fiction",SyFy,23/09/2016,54,5,5.1,74
V,1,"Drama,Action & Adventure,Science Fiction",ABC,03/11/2009,66,23,6.5,168
V,2,"Drama,Action & Adventure,Science Fiction",ABC,04/01/2011,49,13,6.9,51
Unforgettable,1,"Drama,Action & Adventure,Suspense",CBS,20/09/2011,57,20,5.9,52
Under the Dome,2,"Drama,Action & Adventure,Science Fiction",CBS,30/06/2014,52,9,4.4,123
Undercovers,1,"Drama,Action & Adventure,Suspense",NBC,22/09/2010,63,27,5.7,25
Under the Dome,1,"Drama,Action & Adventure,Science Fiction",CBS,24/06/2013,72,35,5.9,450
Ugly Americans,1,"Comedy,Animation,Action & Adventure,Fantasy",Comedy Central,17/03/2010,60,8,7,111
Tyrant,3,"Drama,Action & Adventure,Suspense",FX,06/07/2016,58,4,6.9,9
Tyrant,2,"Drama,Action & Adventure,Suspense",FX,16/06/2015,65,7,7.7,40
Tyrant,1,"Drama,Action & Adventure,Suspense",FX,24/06/2014,54,33,7.8,150
Turn: Washington's Spies,2,"Drama,Action & Adventure",AMC,13/04/2015,68,4,7.7,34
Turn: Washington's Spies,1,"Drama,Action & Adventure",AMC,06/04/2014,61,29,8.1,129
True Detective,3,"Drama,Action & Adventure,Suspense",HBO,13/01/2019,72,35,6.9,230
True Detective,2,"Drama,Action & Adventure,Suspense",HBO,21/06/2015,61,41,6.4,822
Tremors,1,"Drama,Action & Adventure,Horror,Science Fiction",SyFy,28/03/2003,48,9,not available,not available
Treasure Island,1,"Drama,Movie/Mini-Series,Action & Adventure",SyFy,05/05/2012,58,7,4.6,5
Treadstone,1,"Drama,Action & Adventure",USA,15/10/2019,47,7,5.1,20
Training Day (2017),1,"Drama,Action & Adventure",CBS,02/02/2017,38,27,4.6,36
Doctor Who,5,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,03/04/2010,76,9,8.4,374
Doctor Who,1,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,26/03/2005,70,9,8.5,670
Disenchantment,1,"Comedy,Animation,Action & Adventure,Fantasy",Netflix,17/08/2018,56,27,6.8,249
Dinotopia,1,"Drama,Action & Adventure,Fantasy,Kids",ABC,28/11/2002,35,23,not available,not available
Dig,1,"Drama,Action & Adventure",USA,05/03/2015,49,22,6.6,37
Deutschland 86,1,"Drama,Action & Adventure,Suspense",SundanceTV,25/10/2018,82,4,6.8,12
Detroit 1-8-7,1,"Drama,Action & Adventure",ABC,21/09/2010,63,23,8.1,35
Descendants,1,"Comedy,Movie/Mini-Series,Action & Adventure,Fantasy,Science Fiction,Kids,Music",Disney Channel,31/07/2015,63,5,7.4,34
Defiance,1,"Drama,Action & Adventure,Science Fiction",SyFy,15/04/2013,57,17,7.4,276
Deep State,1,"Drama,Action & Adventure,Suspense",Epix,17/06/2018,62,5,5.5,15
Deadwood,3,"Drama,Action & Adventure,Suspense",HBO,11/06/2006,85,20,9.2,219
Deadwood,2,"Drama,Action & Adventure,Suspense",HBO,06/03/2005,93,15,9.1,86
Deadwood,1,"Drama,Action & Adventure,Suspense",HBO,21/03/2004,80,26,9.2,162
Deadly Class,1,"Drama,Action & Adventure",SyFy,16/01/2019,58,13,7.6,55
DC's Legends of Tomorrow,1,"Drama,Action & Adventure,Fantasy,Science Fiction",The CW,21/01/2016,58,22,6,348
Day Break,1,"Drama,Action & Adventure,Suspense,Science Fiction",ABC,15/11/2006,60,28,7.2,185
Das Boot (2019),1,"Drama,Movie/Mini-Series,Action & Adventure",HULU,17/06/2019,70,9,6.3,16
CSI,9,"Drama,Action & Adventure,Suspense",CBS,16/04/2009,74,7,6.8,25
CSI,1,"Drama,Action & Adventure,Suspense",CBS,06/10/2000,58,22,6.6,40
Crusoe,1,"Drama,Action & Adventure",NBC,17/10/2008,53,24,7.3,22
Crossbones,1,"Drama,Action & Adventure",NBC,30/05/2014,56,23,7.1,55
Crisis,1,"Drama,Action & Adventure",NBC,16/03/2014,63,29,7,59
Criminal Minds: Suspect Behavior,1,"Drama,Action & Adventure",CBS,16/02/2011,42,24,4.7,27
Criminal Minds: Beyond Borders,1,"Drama,Action & Adventure,Suspense",CBS,16/03/2016,28,11,3.7,61
Criminal Minds,1,"Drama,Action & Adventure,Suspense",CBS,22/09/2005,42,21,8.1,262
Covert Affairs,2,"Drama,Action & Adventure,Suspense",USA,07/06/2011,68,6,7.8,33
Covert Affairs,1,"Drama,Action & Adventure,Suspense",USA,13/07/2010,64,23,7,113
Copper ,1,"Drama,Action & Adventure",BBC America,19/08/2012,67,27,7.4,52
Constantine (2014),1,"Drama,Action & Adventure,Horror",NBC,24/10/2014,53,25,8.1,297
Total Recall 2070,1,"Action & Adventure,Science Fiction",SHOWTIME,05/01/1999,45,5,not available,not available
Torchwood (UK),4,"Drama,Action & Adventure,Science Fiction",BBC-1,08/07/2011,70,24,6.4,49
Torchwood (UK),3,"Drama,Action & Adventure,Science Fiction",BBC-1,06/07/2009,81,12,7.9,72
Torchwood (UK),2,"Drama,Action & Adventure,Science Fiction",BBC-1,16/01/2008,80,9,7.9,58
Torchwood (UK),1,"Drama,Action & Adventure,Science Fiction",BBC-1,22/10/2006,73,13,8,111
Tom Clancy's Jack Ryan,2,"Drama,Action & Adventure,Suspense",Prime Video,31/10/2019,56,6,5.7,43
Tom Clancy's Jack Ryan,1,"Drama,Action & Adventure,Suspense",Prime Video,31/08/2018,66,28,6.6,144
Titans (2018),1,"Drama,Action & Adventure",DC Universe,12/10/2018,55,8,6.4,263
Timeless (2016),1,"Drama,Action & Adventure,Science Fiction",NBC,03/10/2016,65,29,7.2,204
Timecop,1,"Action & Adventure,Science Fiction",ABC,22/09/1997,29,18,not available,not available
Time After Time,1,"Drama,Action & Adventure,Science Fiction",ABC,05/03/2017,59,24,5.1,37
Those Who Kill,1,"Drama,Action & Adventure,Suspense",A&E,03/03/2014,54,22,7.2,38
Thorne,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",Sky One,10/10/2010,73,7,not available,not available
Thief,1,"Drama,Action & Adventure",FX,28/03/2006,71,25,8.3,75
The Young Indiana Jones Chronicles,1,"Drama,Action & Adventure",ABC,04/03/1992,71,14,8.8,6
The X-Files,11,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",FOX,03/01/2018,67,18,7.4,65
The X-Files,10,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",FOX,24/01/2016,60,35,7.5,269
The X-Files,1,"Drama,Action & Adventure,Horror,Suspense,Science Fiction",FOX,10/09/1993,70,14,8.7,224
The Wrong Mans,1,"Comedy,Action & Adventure",HULU,24/09/2013,79,8,8.5,35
The Walking Dead,9,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,07/10/2018,72,4,7,121
The Witcher,1,"Drama,Action & Adventure,Fantasy",Netflix,20/12/2019,53,17,7.6,2560
The Walking Dead,6,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,11/10/2015,79,10,6.5,660
The Walking Dead,5,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,12/10/2014,80,11,7.1,902
The Walking Dead,4,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,13/10/2013,75,16,6.9,1140
The Walking Dead,3,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,14/10/2012,82,19,7.6,1465
The Walking Dead,2,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,16/10/2011,80,22,7.1,1542
The Walking Dead,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,31/10/2010,82,25,8.1,2739
The Unusuals,1,"Drama,Action & Adventure,Suspense",ABC,08/04/2009,61,22,7.6,81
The Umbrella Academy,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",Netflix,15/02/2019,61,22,7.1,272
Complications,1,"Drama,Action & Adventure,Suspense",USA,18/06/2015,55,14,5.5,23
Coma,1,"Drama,Movie/Mini-Series,Action & Adventure",A&E,03/09/2012,56,16,5.4,7
Chuck,3,"Comedy,Action & Adventure,Science Fiction",NBC,10/01/2010,71,14,8.6,151
Chuck,2,"Comedy,Action & Adventure,Science Fiction",NBC,29/09/2008,74,7,8.6,203
Chuck,1,"Comedy,Action & Adventure,Science Fiction",NBC,24/09/2007,74,26,8.4,408
Chicago P.D.,1,"Drama,Action & Adventure,Suspense",NBC,08/01/2014,50,22,7.7,80
Chicago Med,1,"Drama,Action & Adventure",NBC,17/11/2015,52,17,6.4,58
Chase,1,"Drama,Action & Adventure,Suspense",NBC,20/09/2010,47,17,6.7,34
Chicago Fire,1,"Drama,Action & Adventure",NBC,10/10/2012,49,23,7.4,103
Charlie's Angels,1,"Drama,Action & Adventure",ABC,22/09/2011,30,22,2.9,60
Chaos,1,"Comedy,Drama,Action & Adventure",CBS,01/04/2011,49,18,7.3,18
Category 7: The End of the World,1,Action & Adventure,CBS,06/11/2005,18,11,3.7,92
Catch-22 (2019),1,"Comedy,Drama,Movie/Mini-Series,Action & Adventure",HULU,17/05/2019,70,34,6.5,33
Castlevania,1,"Animation,Drama,Action & Adventure,Fantasy",Netflix,07/07/2017,71,4,7.8,287
Case Histories,1,"Comedy,Drama,Action & Adventure,Suspense",BBC-1,05/06/2011,60,6,8.6,5
Casanova,1,"Comedy,Drama,Action & Adventure",BBC,13/03/2005,67,7,8.2,14
Cane,1,"Drama,Action & Adventure",CBS,25/09/2007,57,25,8.6,123
Burn Notice,2,"Drama,Action & Adventure,Suspense",USA,10/07/2008,75,8,8.4,71
Burn Notice,1,"Drama,Action & Adventure,Suspense",USA,28/06/2007,69,21,8.1,235
Camelot,1,"Drama,Action & Adventure,Fantasy",Starz,25/02/2011,58,26,5.3,48
Bullet in the Face ,1,"Comedy,Action & Adventure",IFC,16/08/2012,59,4,8.2,19
