Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Heathers (2018),1,"Comedy,Drama",Paramount Network,25/10/2018,40,9,4.9,17
Young Sheldon,1,"Comedy,Science",CBS,25/09/2017,63,25,5,157
Sharknado 2: The Second One,1,"Comedy,Movie/Mini-Series,Horror,Science Fiction",SyFy,30/07/2014,50,17,5,53
Awkwafina Is Nora From Queens,1,Comedy,Comedy Central,22/01/2020,66,19,5,7
"Are You There, Chelsea?",1,Comedy,NBC,11/01/2012,35,24,5,50
Retired at 35,1,Comedy,TV Land,19/01/2011,48,11,5,11
The Hotwives of Orlando,1,Comedy,HULU,15/07/2014,67,8,5,5
The Moodys,1,Comedy,FOX,04/12/2019,55,10,5,6
The Sarah Silverman Program,1,Comedy,Comedy Central,01/02/2007,64,22,5,172
Unhitched,1,Comedy,FOX,02/03/2008,43,18,5,17
American Woman,1,"Comedy,Drama",Paramount Network,07/06/2018,48,10,5.1,22
Bob Hearts Abishola,1,Comedy,CBS,23/09/2019,57,10,5.1,14
Dear White People (2017),2,"Comedy,Drama",Netflix,04/05/2018,89,7,5.1,141
A Very Murray Christmas,1,"Comedy,Variety Shows,Events & Specials,Music",Netflix,04/12/2015,68,18,5.1,59
Jenny Slate: Stage Fright,1,Comedy,Netflix,22/10/2019,84,4,5.1,10
Late Night with Jimmy Fallon,1,"Comedy,Talk & Interview",NBC,02/03/2009,48,13,5.1,104
mixed-ish,1,Comedy,ABC,24/09/2019,70,9,5.1,11
"Sit Down, Shut Up",1,"Comedy,Animation,Action & Adventure",FOX,19/04/2009,41,18,5.2,70
Sunnyside (2019),1,Comedy,NBC,26/09/2019,57,10,5.2,6
Teachers (2016),1,Comedy,TV Land,13/01/2016,66,10,5.2,26
Anger Management,1,Comedy,FX,28/06/2012,44,34,5.2,131
Chelsea,1,"Comedy,Talk & Interview",Netflix,11/05/2016,50,14,5.2,44
Cavemen,1,Comedy,ABC,02/10/2007,19,13,5.2,128
John Mulaney & The Sack Lunch Bunch,1,"Comedy,Variety Shows,Events & Specials,Music",Netflix,24/12/2019,87,7,5.2,21
Living Biblically,1,Comedy,CBS,26/02/2018,47,8,5.2,20
"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""",1,"Comedy,Events & Specials",ABC,22/05/2019,71,9,5.2,6
Lipstick Jungle,1,"Comedy,Drama",NBC,07/02/2008,40,27,5.2,38
Lewis Black's Root of All Evil,1,"Comedy,Reality,Talk & Interview",Comedy Central,12/03/2008,75,6,5.2,49
Rick & Morty,4,"Comedy,Animation,Action & Adventure,Fantasy,Science",Cartoon Network,10/11/2019,84,5,5.2,202
The Return of Jezebel James,1,Comedy,FOX,14/03/2008,29,22,5.2,13
Vanity Fair (2018),1,"Comedy,Drama,Movie/Mini-Series",Prime Video,21/12/2018,66,7,5.2,9
Year of the Rabbit,1,"Comedy,Suspense",Channel 4,19/02/2020,69,6,5.2,5
Work in Progress,1,Comedy,SHOWTIME,08/12/2019,78,10,5.2,14
Ellen DeGeneres: Relatable,1,"Comedy,Events & Specials",Netflix,18/12/2018,74,4,5.2,38
Forky Asks a Question,1,"Comedy,Animation,Kids",Disney+,12/11/2019,64,5,5.2,23
Divorce (2016),1,"Comedy,Drama",HBO,09/10/2016,60,37,5.3,55
Loaded,1,"Comedy,Drama,Tech & Gaming",AMC,17/07/2017,67,13,5.3,7
Mel Brooks Strikes Back!,1,Comedy,HBO,10/12/2012,80,5,5.3,6
Marlon,1,Comedy,NBC,16/08/2017,55,9,5.3,21
Now Apocalypse,1,Comedy,Starz,10/03/2019,64,12,5.3,31
Neo Yokio,1,"Comedy,Animation",Netflix,22/09/2017,63,4,5.3,45
Napoleon Dynamite,1,"Comedy,Animation",FOX,15/01/2012,46,22,5.3,52
The Great Indoors,1,Comedy,CBS,27/10/2016,51,27,5.3,35
Those Who Can't,1,Comedy,truTV,11/02/2016,57,8,5.3,7
Entourage,8,"Comedy,Drama",HBO,24/07/2011,62,15,5.3,48
"Glenn Martin, DDS",1,"Comedy,Animation,Action & Adventure",Nickelodeon,17/08/2009,48,9,5.3,153
grown-ish,1,Comedy,Freeform,03/01/2018,71,15,5.3,36
Grandfathered,1,Comedy,FOX,29/09/2015,62,22,5.3,59
Stacked,2,Comedy,FOX,09/11/2005,28,6,5.4,23
Cristela,1,Comedy,ABC,10/10/2014,61,18,5.4,25
Daybreak (2019),1,"Comedy,Horror",Netflix,24/10/2019,54,10,5.4,47
Dickinson,1,"Comedy,Drama",Apple TV+,01/11/2019,66,29,5.4,45
2 Dope Queens,1,"Comedy,Talk & Interview",HBO,02/02/2018,87,6,5.4,37
1600 Penn,1,Comedy,NBC,17/12/2012,55,28,5.4,52
Partners (2012),1,Comedy,CBS,24/09/2012,38,26,5.4,52
Mrs. Fletcher,1,"Comedy,Drama",HBO,27/10/2019,72,20,5.4,16
Kath & Kim,1,Comedy,NBC,09/10/2008,35,28,5.4,47
Maya & Marty,1,"Comedy,Variety Shows,Events & Specials,Music",NBC,31/05/2016,48,10,5.4,18
The Larry Sanders Show,6,"Comedy,Talk & Interview",HBO,15/03/1998,99,8,5.4,31
The Secret Life of the American Teenager,1,"Comedy,Drama",ABC Family,01/07/2008,48,15,5.4,131
The Odd Couple (2015),1,Comedy,CBS,19/02/2015,42,31,5.4,84
Time Traveling Bong,1,"Comedy,Movie/Mini-Series",Comedy Central,20/04/2016,63,7,5.4,27
Tracey Ullman's State of the Union,1,Comedy,SHOWTIME,30/03/2008,70,16,5.4,10
Weird City,1,"Comedy,Science Fiction",YouTube Premium,13/02/2019,67,5,5.4,16
Sarah Silverman: We Are Miracles,1,"Comedy,Movie/Mini-Series",HBO,23/11/2013,75,7,5.5,28
The Cho Show,1,"Comedy,Reality",VH1,21/08/2008,44,11,5.5,4
Back to You,1,Comedy,FOX,19/09/2007,58,27,5.5,41
Crowded,1,Comedy,NBC,15/03/2016,44,18,5.5,32
Dollface,1,Comedy,HULU,15/11/2019,54,13,5.5,17
A Black Lady Sketch Show,1,Comedy,HBO,02/08/2019,89,8,5.5,35
Little America,1,Comedy,Apple TV+,17/01/2020,85,20,5.5,23
Miracle Workers (2019),1,Comedy,TBS,12/02/2019,61,19,5.5,34
Odd Mom Out,1,Comedy,Bravo,08/06/2015,68,10,5.5,22
Random Acts Of Flyness,1,"Comedy,Variety Shows,Talk & Interview",HBO,03/08/2018,83,7,5.5,23
The Gong Show (2017),1,"Comedy,Reality,Game Show",ABC,22/06/2017,58,7,5.5,17
Guys With Kids,1,Comedy,NBC,12/09/2012,37,25,5.5,41
Schooled,1,Comedy,ABC,09/01/2019,56,7,5.6,14
Save Me,1,Comedy,NBC,23/05/2013,43,13,5.6,19
Single Parents,1,Comedy,ABC,26/09/2018,67,10,5.6,16
Super Fun Night,1,Comedy,ABC,02/10/2013,46,27,5.6,70
The Cool Kids,1,Comedy,FOX,28/09/2018,42,9,5.6,22
Breaking In,2,"Comedy,Drama",FOX,06/03/2012,48,4,5.6,10
Camp Rock,1,"Comedy,Kids",Disney,20/06/2008,64,16,5.6,84
Labor Pains,1,Comedy,ABC Family,19/07/2009,54,7,5.6,11
Melissa & Joey,1,Comedy,ABC Family,17/08/2010,53,9,5.6,35
Making History,1,"Comedy,Science Fiction",FOX,05/03/2017,64,25,5.6,31
Modern Men,1,Comedy,WB,17/03/2006,24,18,5.6,7
NCIS: Los Angeles,1,"Comedy,Drama,Action & Adventure,Suspense",CBS,22/09/2009,58,22,5.6,107
The Last O.G.,1,Comedy,TBS,03/04/2018,65,18,5.6,14
What Would Diplo Do?,1,"Comedy,Music",VICELAND,03/08/2017,69,7,5.6,13
Why? With Hannibal Buress,1,Comedy,Comedy Central,08/07/2015,49,6,5.6,14
House of Lies,1,Comedy,SHOWTIME,08/01/2012,63,25,5.6,119
Scrubs,9,Comedy,ABC,01/12/2009,62,12,5.7,104
The Exes,1,Comedy,TV Land,30/11/2011,49,14,5.7,25
Back in the Game,1,Comedy,ABC,25/09/2013,59,17,5.7,26
The Larry Sanders Show,4,"Comedy,Talk & Interview",HBO,19/07/1995,99,17,5.7,51
LA to Vegas,1,Comedy,FOX,02/01/2018,43,13,5.7,27
Married,1,Comedy,FX,17/07/2014,52,24,5.7,49
My Next Guest Needs No Introduction With David Letterman,1,"Comedy,Talk & Interview,Music",Netflix,12/01/2018,70,13,5.7,39
Roseanne,10,Comedy,ABC,18/10/1988,69,31,5.7,70
The Mysteries of Laura,1,"Comedy,Drama",NBC,17/09/2014,37,28,5.7,76
The Mindy Project,4,Comedy,FOX,15/09/2015,81,5,5.7,36
The President Show,1,Comedy,Comedy Central,27/04/2017,58,5,5.7,43
Til Death,1,Comedy,FOX,07/09/2006,37,22,5.7,53
Tracey Ullman's Show,1,Comedy,FOX,28/10/2016,70,7,5.7,11
Happy Together,1,Comedy,CBS,01/10/2018,48,9,5.7,22
How to Live with Your Parents (For the Rest of Your Life),1,Comedy,ABC,03/04/2013,48,18,5.7,17
SMILF,2,Comedy,SHOWTIME,20/01/2019,73,5,5.8,12
Alone Together,1,Comedy,Freeform,10/01/2018,60,6,5.8,14
Bad Judge,1,Comedy,NBC,02/10/2014,38,22,5.8,36
Brothers,1,Comedy,FOX,25/09/2009,54,16,5.8,5
"Clone High, USA",1,"Comedy,Animation,Fantasy",Teletoon,02/11/2002,60,7,5.8,17
10 Items Or Less,1,Comedy,Other,27/11/2006,42,13,5.8,28
The Showbiz Show with David Spade,1,"Comedy,Talk & Interview,News",Comedy Central,15/09/2005,41,6,5.8,8
Living with Yourself,1,Comedy,Netflix,18/10/2019,70,26,5.8,45
Murphy Brown,1,Comedy,CBS,14/11/1988,71,10,5.8,12
Powerless,1,"Comedy,Action & Adventure,Fantasy",NBC,02/02/2017,57,26,5.8,81
The Larry Sanders Show,5,"Comedy,Talk & Interview",HBO,13/11/1996,97,10,5.8,26
The Opposition with Jordan Klepper,1,"Comedy,Talk & Interview",Comedy Central,25/09/2017,56,4,5.8,10
Weird Science,1,"Comedy,Fantasy",USA,05/03/1994,42,4,5.8,6
Huge,1,"Comedy,Drama,Health & Lifestyle",ABC Family,28/06/2010,70,13,5.8,21
Idiotsitter,1,Comedy,Comedy Central,14/01/2016,68,6,5.8,20
Fam,1,Comedy,CBS,10/01/2019,54,7,5.8,16
Graves,1,"Comedy,Drama",Epix,16/10/2016,61,10,5.8,22
The Big C,2,Comedy,SHOWTIME,27/06/2011,64,6,5.9,31
The Carmichael Show,1,Comedy,NBC,26/08/2015,64,15,5.9,44
The Birthday Boys,1,Comedy,IFC,18/10/2013,76,7,5.9,22
Kirstie,1,Comedy,TV Land,04/12/2013,48,16,5.9,17
Late Show with Stephen Colbert,1,"Comedy,Talk & Interview,Music",CBS,08/09/2015,72,27,5.9,89
There's... Johnny!,1,Comedy,HULU,16/11/2017,60,6,5.9,9
Twenty Good Years,1,Comedy,NBC,11/10/2006,29,26,5.9,38
Friends From College,1,Comedy,Netflix,14/07/2017,44,31,5.9,63
Girlfriends' Guide to Divorce,1,"Comedy,Drama",Bravo,02/12/2014,69,21,5.9,17
Girlboss,1,Comedy,Netflix,21/04/2017,53,13,5.9,50
Head Cases,1,Comedy,FOX,14/09/2005,43,22,5.9,8
Sally4Ever,1,Comedy,HBO,11/11/2018,77,12,6,21
"Sabrina, the Teenage Witch",1,"Comedy,Fantasy",ABC,27/09/1996,65,16,6,50
Shrill,1,Comedy,HULU,15/03/2019,74,27,6,45
American Housewife,1,"Comedy,Drama",ABC,11/10/2016,60,25,6,43
American Body Shop,1,"Comedy,Reality",Comedy Central,08/07/2007,29,5,6,9
Carol's Second Act,1,Comedy,CBS,26/09/2019,61,10,6,19
Corporate,1,Comedy,Comedy Central,04/01/2019,75,7,6,33
Documentary Now!,3,"Comedy,Documentary",IFC,20/02/2019,88,8,6,23
Ja'mie: Private School Girl,1,Comedy,ABC,23/10/2013,40,10,6,37
Manhattan Love Story,1,"Comedy,Drama",ABC,30/09/2014,42,24,6,36
Man Up!,1,Comedy,ABC,18/10/2011,36,20,6,29
Mythic Quest: Raven's Banquet,1,"Comedy,Drama",Apple TV+,07/02/2020,73,12,6,56
The Maya Rudolph Show,1,"Comedy,Variety Shows,Events & Specials",NBC,19/05/2014,53,5,6,13
Free Ride,1,Comedy,FOX,01/03/2006,45,26,6,58
Ghosted,1,"Comedy,Fantasy,Science Fiction",FOX,01/10/2017,62,15,6,39
Silicon Valley,6,Comedy,HBO,27/10/2019,78,4,6.1,16
Stan Against Evil,1,"Comedy,Horror,Suspense",IFC,31/10/2016,57,8,6.1,31
Aziz Ansari: Right Now,1,Comedy,Netflix,09/07/2019,72,11,6.1,29
Archer,8,"Comedy,Animation,Action & Adventure",FX,05/04/2017,72,8,6.1,74
Blunt Talk,1,Comedy,Starz,22/08/2015,56,25,6.1,35
Black-ish,1,"Comedy,Drama",ABC,24/09/2014,77,31,6.1,97
Comedy Bang! Bang!,1,Comedy,IFC,08/06/2012,64,4,6.1,31
Documentary Now!,2,"Comedy,Documentary",IFC,14/09/2016,74,7,6.1,13
Difficult People,1,Comedy,HULU,05/08/2015,76,12,6.1,59
Kevin From Work,1,Comedy,ABC Family,12/08/2015,63,9,6.1,16
Making It,1,"Comedy,Reality,Arts",ABC,31/07/2018,77,14,6.1,9
Run (2020),1,"Comedy,Drama,Suspense",HBO,12/04/2020,74,21,6.1,15
The Inbetweeners (UK),1,Comedy,E4,01/05/2008,73,7,6.1,147
The Goode Family,1,"Comedy,Animation,Action & Adventure",Comedy Central,27/05/2009,61,17,6.1,19
The Neighbors,1,"Comedy,Science Fiction",ABC,26/09/2012,42,23,6.1,78
The Mayor,1,"Comedy,Music",ABC,03/10/2017,72,19,6.1,34
Wet Hot American Summer: Ten Years Later,1,Comedy,Netflix,04/08/2017,67,12,6.1,33
Welcome to Sweden,1,Comedy,NBC,21/04/2014,72,22,6.1,38
Worst Week,1,Comedy,CBS,22/09/2008,62,22,6.1,41
I Just Want My Pants Back,1,"Comedy,Drama",MTV,28/08/2011,68,7,6.1,11
Girls,6,"Comedy,Drama",HBO,12/02/2017,79,15,6.1,72
Girls,2,"Comedy,Drama",HBO,13/01/2013,84,20,6.1,197
Hap and Leonard,2,"Comedy,Drama",SUNDANCE,15/03/2017,86,4,6.1,24
High Maintenance (2016),1,Comedy,HBO,16/09/2016,81,20,6.1,56
Harley Quinn,1,"Comedy,Action & Adventure",DC Universe,29/11/2019,82,7,6.1,79
See Dad Run,1,Comedy,Nick-at-Nite,07/10/2012,50,4,6.2,9
Secret Girlfriend,1,Comedy,Comedy Central,07/10/2009,46,6,6.2,119
Terra Nova,1,"Comedy,Drama,Action & Adventure,Science Fiction,Science",FOX,26/09/2011,64,28,6.2,307
Survivor's Remorse,2,"Comedy,Sports",Starz,22/08/2015,85,5,6.2,20
The Comedians,1,Comedy,FX,09/04/2015,57,30,6.2,32
Almost Royal,1,Comedy,BBC America,21/06/2014,71,10,6.2,19
Bent (2012),1,Comedy,NBC,21/03/2012,68,19,6.2,18
Back to Life,1,Comedy,SHOWTIME,10/11/2019,87,13,6.2,28
Crisis in Six Scenes,1,Comedy,Amazon Prime,30/09/2016,44,29,6.2,38
AJ and the Queen,1,Comedy,Netflix,10/01/2020,46,8,6.2,42
Accidentally on Purpose,1,Comedy,CBS,21/09/2009,50,18,6.2,93
Real Rob,1,Comedy,Netflix,01/12/2015,36,5,6.2,30
The Jack and Triumph Show,1,Comedy,Adult Swim,20/02/2015,58,4,6.2,11
Twenty Twelve,1,Comedy,BBC-2,14/03/2011,66,7,6.2,6
Transparent,4,"Comedy,Drama",Amazon Instant Video,22/09/2017,74,10,6.2,34
Weeds,7,"Comedy,Drama",SHOWTIME,27/06/2011,68,5,6.2,71
Wishful Drinking,1,"Comedy,News/Documentary",HBO,12/12/2010,74,7,6.2,6
Will & Grace (2017),1,Comedy,NBC,28/09/2017,73,27,6.2,87
Whiskey Cavalier,1,"Comedy,Drama",ABC,27/02/2019,64,17,6.2,41
Ed,1,"Comedy,Drama",NBC,08/10/2000,87,32,6.2,9
God Friended Me,1,"Comedy,Drama",CBS,30/09/2018,57,14,6.2,46
Girls,4,"Comedy,Drama",HBO,11/01/2015,75,16,6.2,78
