Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
Tom Clancy's Jack Ryan,1,"Drama,Action & Adventure,Suspense",Prime Video,31/08/2018,66,28,6.6,144
Transparent,2,"Comedy,Drama",Amazon Instant Video,04/12/2015,94,28,6.6,138
Victoria (2016),1,"Drama,Documentary",PBS,15/01/2017,67,22,6.6,48
Girls,1,"Comedy,Drama",HBO,15/04/2012,87,31,6.6,380
High Fidelity,1,Drama,HULU,14/02/2020,70,28,6.6,31
Guerrilla,1,"Drama,Suspense",SHOWTIME,16/04/2017,75,15,6.6,19
Ringer,1,Drama,The CW,13/09/2011,59,29,6.6,96
Servant,1,"Drama,Suspense",Apple TV+,28/11/2019,66,19,6.6,47
Sense and Sensibility,1,Drama,BBC,01/02/1981,79,11,6.6,5
Star Wars Rebels,1,"Animation,Drama,Action & Adventure,Fantasy,Science Fiction,Kids",Disney XD,03/10/2014,78,4,6.6,192
CSI,1,"Drama,Action & Adventure,Suspense",CBS,06/10/2000,58,22,6.6,40
Do No Harm,1,Drama,NBC,31/01/2013,37,25,6.6,59
Dig,1,"Drama,Action & Adventure",USA,05/03/2015,49,22,6.6,37
90210,1,Drama,The CW,02/09/2008,47,12,6.7,76
Julian Fellowes Presents Doctor Thorne,1,"Comedy,Drama",ITV,20/05/2016,64,7,6.7,10
Last Man Standing (2011),7,"Comedy,Drama",ABC,28/09/2018,58,6,6.7,20
McMafia,1,Drama,AMC,26/02/2018,59,13,6.7,48
Miracle Workers,1,"Drama,Reality,Game Show",ABC,06/03/2006,55,8,6.7,7
No Ordinary Family,1,"Drama,Action & Adventure,Suspense,Science Fiction",ABC,28/09/2010,65,28,6.7,71
Pennyworth,1,"Drama,Action & Adventure",Epix,28/07/2019,60,9,6.7,33
Agatha Christie’s The Witness for the Prosecution,1,"Drama,Movie/Mini-Series",Acorn TV,30/01/2017,79,7,6.7,19
The Staircase,1,"Drama,Talk & Interview,Documentary",SUNDANCE,04/04/2005,95,9,6.7,17
The Dresser (2016),1,"Drama,Movie/Mini-Series",Starz,30/05/2016,84,14,6.7,19
The Child in Time,1,"Drama,Movie/Mini-Series",PBS,01/04/2018,83,6,6.7,15
The Client List,1,Drama,LIFETIME,08/04/2012,44,11,6.7,19
The Hot Zone,1,"Drama,Movie/Mini-Series,Science",National Geographic,27/05/2019,69,12,6.7,20
The Marvelous Mrs. Maisel,3,"Comedy,Drama",Amazon Prime,06/12/2019,75,19,6.7,38
The Wizard of Lies,1,"Drama,Movie/Mini-Series",HBO,21/05/2017,67,26,6.7,34
Vegas,1,Drama,CBS,25/09/2012,68,30,6.7,52
Weeds,8,"Comedy,Drama",SHOWTIME,01/07/2012,57,4,6.7,43
Good Girls Revolt,1,Drama,Amazon Prime,28/10/2016,65,22,6.7,23
Girls,5,"Comedy,Drama",HBO,21/02/2016,73,13,6.7,67
Genius (2017),1,"Drama,Science",National Geographic,25/04/2017,65,20,6.7,67
Greenleaf,1,Drama,OWN,21/06/2016,68,21,6.7,20
Pure Genius,1,Drama,CBS,27/10/2016,43,19,6.7,42
Rogue,1,Drama,DirecTV,03/04/2013,47,14,6.7,9
Scream (2015),1,"Drama,Horror",VH1,30/06/2015,57,20,6.7,167
Satisfaction (2014),1,Drama,USA,17/07/2014,63,19,6.7,45
Terminator: The Sarah Connor Chronicles,2,"Drama,Action & Adventure,Science Fiction",FOX,08/09/2008,67,4,6.7,106
The Affair,5,Drama,SHOWTIME,25/08/2019,77,4,6.7,17
Angry Boys,1,"Sports,Comedy,Drama,Sports",HBO,01/01/2012,50,7,6.7,21
American Gothic (2016),1,"Drama,Suspense",CBS,22/06/2016,51,23,6.7,37
Baby Daddy,1,"Comedy,Drama",ABC Family,20/06/2012,51,8,6.7,46
Big Love,3,Drama,HBO,18/01/2009,79,13,6.7,23
Chase,1,"Drama,Action & Adventure,Suspense",NBC,20/09/2010,47,17,6.7,34
Castle Rock (2018),1,"Drama,Horror,Suspense",HULU,25/07/2018,66,35,6.7,105
Emerald City,1,"Drama,Fantasy",NBC,06/01/2017,47,31,6.7,102
Eleventh Hour,1,"Drama,Horror,Suspense",CBS,09/10/2008,54,26,6.7,18
Last Man Standing (2011),1,"Comedy,Drama",ABC,11/10/2011,33,24,6.8,113
Luther,5,"Drama,Suspense",BBC-1,02/06/2019,64,9,6.8,13
Marvel's Agents of S.H.I.E.L.D,1,"Drama,Action & Adventure,Suspense,Science Fiction",ABC,24/09/2013,74,33,6.8,897
No Tomorrow,1,"Comedy,Drama",The CW,04/10/2016,69,23,6.8,39
Northern Exposure,2,"Comedy,Drama",CBS,08/04/1991,83,9,6.8,6
One Mississippi,2,"Comedy,Drama",Amazon Prime,08/09/2017,82,6,6.8,23
Primeval,1,"Drama,Action & Adventure,Fantasy,Science Fiction",BBC America,10/02/2007,73,9,6.8,46
The Hollow Crown,1,"Drama,Action & Adventure",PBS,20/09/2013,91,7,6.8,48
The Good Cop,1,"Comedy,Drama",Netflix,21/09/2018,53,15,6.8,16
The Librarian: The Curse of the Judas Chalice,1,"Drama,Movie/Mini-Series,Action & Adventure",TNT,07/12/2008,77,6,6.8,12
The O.C.,1,"Comedy,Drama",FOX,05/08/2003,67,17,6.8,68
The Name of the Rose,1,"Drama,Movie/Mini-Series,Suspense",SundanceTV,23/05/2019,52,4,6.8,5
The Morning Show,1,Drama,Apple TV+,01/11/2019,61,37,6.8,75
The Tudors,2,"Drama,Suspense",SHOWTIME,30/03/2008,68,16,6.8,81
UnReal,4,Drama,LIFETIME,16/07/2018,60,4,6.8,12
Weeds,6,"Comedy,Drama",SHOWTIME,16/08/2010,56,4,6.8,77
Yellowstone (2018),1,Drama,Paramount Network,20/06/2018,54,27,6.8,62
Hanna (2019),1,"Drama,Suspense",Prime Video,29/03/2019,57,15,6.8,34
Glory Daze,1,"Comedy,Drama",TBS,16/11/2010,46,18,6.8,14
Homeland,6,"Drama,Suspense",SHOWTIME,15/01/2017,68,15,6.8,114
Home Fires,1,"Comedy,Drama",NBC,04/10/2015,79,5,6.8,6
Insecure,2,"Comedy,Drama",HBO,23/07/2017,90,13,6.8,53
Restless,1,"Drama,Movie/Mini-Series,Action & Adventure",Sundance Channel,07/12/2012,75,12,6.8,8
Recount,1,Drama,HBO,25/05/2008,66,25,6.8,34
Steel Magnolias,1,"Drama,Movie/Mini-Series",LIFETIME,07/10/2012,76,15,6.8,6
The 100,1,"Drama,Action & Adventure,Science Fiction",The CW,19/03/2014,63,26,6.8,646
CSI,9,"Drama,Action & Adventure,Suspense",CBS,16/04/2009,74,7,6.8,25
Animal Kingdom,1,Drama,TNT,14/06/2016,65,27,6.8,66
Alpha House,1,"Comedy,Drama",Amazon Instant Video,19/04/2013,68,18,6.8,35
Atlantis,1,"Drama,Action & Adventure,Fantasy",BBC,28/09/2013,53,8,6.8,56
Ascension,1,"Drama,Action & Adventure,Science Fiction",SyFy,15/12/2014,56,14,6.8,127
Billions,3,Drama,SHOWTIME,25/03/2018,77,5,6.8,41
Big Love,1,Drama,HBO,12/03/2006,72,26,6.8,122
Brexit,1,"Drama,Movie/Mini-Series",HBO,19/01/2019,73,12,6.8,21
Breakthrough with Tony Robbins,1,"Drama,Reality,Game Show",NBC,27/07/2010,43,10,6.8,4
Bobby Fischer Against The World,1,"Sports,Drama,Documentary",HBO,06/06/2011,81,8,6.8,8
Blindspot,1,"Drama,Action & Adventure,Suspense",NBC,21/09/2015,65,32,6.8,206
Blood & Oil,1,"Drama,Business",ABC,27/09/2015,48,24,6.8,42
David Makes Man,1,Drama,OWN,14/08/2019,81,11,6.8,5
Devs,1,"Drama,Suspense",HULU,05/03/2020,70,31,6.8,31
Deutschland 86,1,"Drama,Action & Adventure,Suspense",SundanceTV,25/10/2018,82,4,6.8,12
Dolly Parton's Coat of Many Colors,1,"Drama,Movie/Mini-Series,Music",NBC,10/12/2015,65,8,6.8,13
Outsiders,1,Drama,WGN America,26/01/2016,63,17,6.9,63
King Lear,1,"Drama,Movie/Mini-Series",Prime Video,28/09/2018,76,6,6.9,9
Les Miserables (2019),1,"Drama,Movie/Mini-Series",PBS,14/04/2019,79,11,6.9,32
Legacies,1,"Drama,Action & Adventure,Fantasy",The CW,25/10/2018,59,5,6.9,33
Marvel's The Defenders,1,"Drama,Action & Adventure,Fantasy,Science Fiction",Netflix,18/08/2017,63,30,6.9,419
Mr. Selfridge,1,Drama,PBS,06/01/2013,59,20,6.9,43
Neverland,1,"Drama,Movie/Mini-Series,Action & Adventure",SyFy,04/12/2011,59,14,6.9,15
Once Upon a Time in Wonderland,1,"Drama,Fantasy",ABC,10/10/2013,59,23,6.9,90
Orange is the New Black,6,"Comedy,Drama",Netflix,27/07/2018,69,14,6.9,69
One Mississippi,1,"Comedy,Drama",Amazon Prime,09/09/2016,77,20,6.9,27
Patriot,2,"Comedy,Drama",Amazon Prime,09/11/2018,80,4,6.9,35
Past Life,1,"Drama,Fantasy",FOX,09/02/2010,42,22,6.9,21
The Resident,1,Drama,FOX,21/01/2018,54,12,6.9,43
The Borgias,3,Drama,SHOWTIME,14/04/2013,72,4,6.9,62
The Bold Type,1,"Drama,Business",Freeform,11/07/2017,58,8,6.9,55
The Tudors,1,"Drama,Suspense",SHOWTIME,01/04/2007,64,27,6.9,130
The Walking Dead,4,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,13/10/2013,75,16,6.9,1140
Too Big To Fail,1,Drama,HBO,23/05/2011,67,17,6.9,16
This Close,1,"Comedy,Drama",Sundance Now,14/02/2018,75,10,6.9,9
True Detective,3,"Drama,Action & Adventure,Suspense",HBO,13/01/2019,72,35,6.9,230
True Blood,5,"Drama,Fantasy,Horror",HBO,10/06/2012,74,14,6.9,179
Tyrant,3,"Drama,Action & Adventure,Suspense",FX,06/07/2016,58,4,6.9,9
V,2,"Drama,Action & Adventure,Science Fiction",ABC,04/01/2011,49,13,6.9,51
Westworld,2,"Drama,Action & Adventure,Fantasy,Science Fiction",HBO,22/04/2018,76,29,6.9,329
Gilmore Girls,8,"Comedy,Drama",WB,25/11/2016,75,28,6.9,63
Hap and Leonard,1,"Comedy,Drama",SUNDANCE,02/03/2016,73,19,6.9,52
Humans,2,"Drama,Science Fiction,Tech & Gaming",Channel 4,13/02/2017,82,8,6.9,57
Rake (2014),1,"Comedy,Drama",FOX,23/01/2014,62,33,6.9,43
Red Widow,1,Drama,ABC,03/03/2013,48,24,6.9,41
Reckless,1,Drama,CBS,29/06/2014,46,15,6.9,19
Salvation (2017),1,"Drama,Action & Adventure,Suspense,Science Fiction",CBS,12/07/2017,48,18,6.9,67
Sharp Objects,1,"Drama,Movie/Mini-Series",HBO,08/07/2018,78,41,6.9,223
Stumptown,1,"Drama,Suspense",ABC,25/09/2019,73,16,6.9,29
Stargate Atlantis,1,"Drama,Action & Adventure,Science Fiction",SyFy,16/07/2004,53,5,6.9,104
Take Two,1,"Drama,Action & Adventure",ABC,21/06/2018,53,10,6.9,35
The Act,1,Drama,HULU,20/03/2019,73,17,6.9,26
Bomb Girls,1,Drama,GLOBAL,11/09/2012,60,5,6.9,7
Betrayal,1,"Drama,Action & Adventure",ABC,29/09/2013,38,18,6.9,48
Bedlam,1,"Drama,Fantasy,Horror,Suspense",Living,07/02/2011,56,4,6.9,8
Birds of Prey,1,"Drama,Action & Adventure,Fantasy",WB,09/10/2002,58,21,6.9,15
Big Love,2,Drama,HBO,11/06/2007,71,10,6.9,70
BH90210,1,"Comedy,Drama",FOX,07/08/2019,64,21,6.9,14
Black Mirror: Bandersnatch,1,"Drama,Science Fiction",Netflix,28/12/2018,61,16,6.9,276
Broadchurch,2,"Drama,Suspense",BBC America,04/03/2015,73,18,6.9,113
Cleverman,1,"Drama,Fantasy,Suspense,Science Fiction",Sundance Channel,01/06/2016,61,7,6.9,32
Dallas (2012),2,"Drama,Soap",TNT,28/01/2013,82,9,6.9,40
Dispatches from Elsewhere,1,"Drama,Suspense",AMC,01/03/2020,67,15,6.9,10
Enlightened,1,"Comedy,Drama,Health & Lifestyle",HBO,10/10/2011,74,22,6.9,113
Flowers in the Attic,1,"Drama,Movie/Mini-Series,Horror",LIFETIME,18/01/2014,49,22,6.9,12
Life (2007),2,Drama,NBC,29/09/2008,72,8,7,100
Masters of Horror,1,"Drama,Fantasy,Horror,Suspense",SHOWTIME,28/10/2005,73,9,7,23
Modern Love,1,"Comedy,Drama",Prime Video,18/10/2019,66,26,7,35
Pitch,1,"Drama,Sports",FOX,22/09/2016,69,27,7,46
Pillars of the Earth,1,"Drama,Action & Adventure",Starz,23/07/2010,67,19,7,34
Alias Grace,1,"Drama,Movie/Mini-Series",CBC,03/11/2017,81,30,7,86
A Gifted Man ,1,Drama,CBS,23/09/2011,62,19,7,45
The Firm (2012),1,Drama,NBC,08/01/2012,52,24,7,28
The English Game,1,"Drama,Movie/Mini-Series",Netflix,20/03/2020,62,4,7,5
The Durrells in Corfu,1,Drama,PBS,16/10/2016,77,6,7,16
The Good Fight,4,Drama,CBS,09/04/2020,84,7,7,14
The Good Fight,2,Drama,CBS,04/03/2018,70,5,7,36
The Magicians (2016),1,"Drama,Fantasy,Horror",SyFy,25/01/2016,60,24,7,224
The Red Tent,1,"Drama,Movie/Mini-Series",LIFETIME,07/12/2014,57,12,7,7
The Passage,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",FOX,14/01/2019,60,18,7,47
The Walking Dead,9,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,07/10/2018,72,4,7,121
Top Of The Lake,1,"Drama,Movie/Mini-Series",Sundance Channel,24/03/2013,87,27,7,186
Vinyl,1,"Drama,Music",HBO,14/02/2016,71,39,7,155
Godless,1,Drama,Netflix,22/11/2017,75,25,7,197
From Dusk Till Dawn: The Series,1,"Comedy,Drama,Action & Adventure,Fantasy,Horror,Suspense",El Rey Network,11/03/2014,61,9,7,92
Homecoming,1,"Drama,Suspense",Prime Video,02/11/2018,83,35,7,124
Hellcats,1,"Sports,Drama,Sports",The CW,08/09/2010,51,22,7,34
Harley and the Davidsons,1,"Drama,Movie/Mini-Series",Discovery Channel,05/09/2016,57,8,7,9
Insatiable,1,"Comedy,Drama",Netflix,10/08/2018,25,15,7,213
Incorporated,1,"Drama,Suspense,Science Fiction",SyFy,30/11/2016,62,22,7,48
Queen of the South,1,"Drama,Action & Adventure",USA,23/06/2016,59,15,7,37
Rookie Blue,1,"Drama,Action & Adventure",ABC,24/06/2010,52,11,7,90
Rizzoli & Isles,1,"Drama,Suspense",TNT,12/07/2010,61,17,7,90
South Riding,1,Drama,BBC-1,20/02/2011,62,7,7,4
Berlin Station,1,"Drama,Suspense",Epix,16/10/2016,65,11,7,46
Belgravia,1,"Drama,Movie/Mini-Series",Epix,12/04/2020,70,16,7,5
Being Human (UK),2,"Comedy,Drama,Fantasy,Horror,Suspense",BBC,10/01/2010,78,5,7,22
Baywatch,1,"Comedy,Drama,Action & Adventure",Syndicated,23/04/1989,35,6,7,4
Bitten,1,"Drama,Action & Adventure,Fantasy",SyFy,13/01/2014,59,8,7,128
Boomtown,1,"Drama,Action & Adventure",NBC,29/09/2002,89,31,7,4
Carnival Row,1,"Drama,Fantasy,Suspense",Prime Video,30/08/2019,58,22,7,60
Code Black (2015),1,Drama,CBS,30/09/2015,53,26,7,90
Cinema Verite,1,"Drama,Movie/Mini-Series",HBO,23/04/2011,74,23,7,10
Crossing Lines,1,Drama,NBC,23/06/2013,58,9,7,63
Crisis,1,"Drama,Action & Adventure",NBC,16/03/2014,63,29,7,59
Covert Affairs,1,"Drama,Action & Adventure,Suspense",USA,13/07/2010,64,23,7,113
Empire (2015),1,"Drama,Music",ABC,07/01/2015,69,39,7,171
"Emily Owens, M.D.",1,Drama,The CW,16/10/2012,47,25,7,50
Feel Good (2020),1,"Comedy,Drama",Netflix,19/03/2020,83,11,7,15
Frequency,1,"Drama,Suspense,Science Fiction",The CW,05/10/2016,64,21,7,66
Combat Hospital,1,Drama,ABC,21/06/2011,54,10,7,16
ZeroZeroZero,1,"Drama,Movie/Mini-Series",Prime Video,06/03/2020,75,6,7.1,15
Legion,3,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",FX,24/06/2019,72,6,7.1,48
Law & Order: Los Angeles,1,"Drama,Action & Adventure,Suspense",NBC,29/09/2010,64,22,7.1,16
Luther,1,"Drama,Suspense",BBC-1,04/05/2010,83,11,7.1,282
Low Winter Sun,1,Drama,AMC,11/08/2013,60,27,7.1,82
NYC 22,1,Drama,CBS,15/04/2012,57,21,7.1,18
Nurse Jackie,5,Drama,SHOWTIME,14/04/2013,66,10,7.1,16
Nurse Jackie,3,Drama,SHOWTIME,28/03/2011,79,7,7.1,34
Private Practice,1,Drama,ABC,26/09/2007,45,25,7.1,82
Prime Suspect: Tennison,1,Drama,PBS,25/06/2017,59,10,7.1,13
The Chicago Code,1,"Drama,Action & Adventure",FOX,07/02/2011,75,25,7.1,66
The Company,1,"Drama,Action & Adventure,Suspense",TNT,05/08/2007,67,23,7.1,17
The Flash,1,"Drama,Action & Adventure,Fantasy",CBS,20/09/1990,67,9,7.1,34
The Finder,1,Drama,FOX,12/01/2012,58,20,7.1,44
The Fades,1,"Drama,Science Fiction",BBC America,21/09/2011,69,8,7.1,22
The Girlfriend Experience,2,"Comedy,Drama,Business",Starz,05/11/2017,72,6,7.1,15
The Gifted,1,"Drama,Action & Adventure,Fantasy,Science Fiction",FOX,02/10/2017,63,22,7.1,141
The Last Ship,1,"Drama,Action & Adventure,Science Fiction",TNT,22/06/2014,60,22,7.1,220
The New Pope,1,"Drama,Movie/Mini-Series",HBO,13/01/2020,63,12,7.1,18
The Umbrella Academy,1,"Drama,Action & Adventure,Fantasy,Suspense,Science Fiction",Netflix,15/02/2019,61,22,7.1,272
The Take,1,"Drama,Movie/Mini-Series",Encore,17/06/2009,80,5,7.1,11
The Walking Dead,5,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,12/10/2014,80,11,7.1,902
The Walking Dead,2,"Drama,Action & Adventure,Fantasy,Horror,Suspense,Science Fiction",AMC,16/10/2011,80,22,7.1,1542
Trust,1,Drama,FX,25/03/2018,67,24,7.1,31
Vikings,3,"Drama,Action & Adventure",History,19/02/2015,81,7,7.1,320
Whitechapel,2,Drama,ITV1,11/10/2010,69,4,7.1,10
YOU,1,"Drama,Suspense,Tech & Gaming",LIFETIME,09/09/2018,74,16,7.1,75
Gang Related,1,"Drama,Action & Adventure",FOX,22/05/2014,52,21,7.1,48
Hairspray Live!,1,"Drama,Music",NBC,07/12/2016,66,14,7.1,18
Public Morals,1,Drama,TNT,25/08/2015,69,22,7.1,50
Rush (2014),1,Drama,USA,17/07/2014,45,14,7.1,39
Scandal,1,Drama,ABC,05/04/2012,64,29,7.1,201
Shooter (2016),1,"Drama,Action & Adventure,Suspense",USA,15/11/2016,60,10,7.1,70
Shadowhunters,1,"Drama,Action & Adventure,Fantasy",Freeform,12/01/2016,45,9,7.1,299
Seven Seconds,1,Drama,Netflix,23/02/2018,68,20,7.1,38
Spies of Warsaw,1,Drama,BBC America,09/01/2013,64,10,7.1,7
Doctor Who,8,"Comedy,Drama,Action & Adventure,Science Fiction",BBC-1,23/08/2014,80,8,7.1,340
Black Mirror,4,"Drama,Science Fiction",Channel 4,29/12/2017,72,27,7.1,262
American Crime,3,Drama,ABC,12/03/2017,90,26,7.1,50
Banshee,4,"Drama,Action & Adventure,Suspense",Cinemax,01/04/2016,77,4,7.1,131
Boston's Finest (2013),1,Drama,TNT,27/02/2013,75,4,7.1,12
Body of Proof,1,Drama,ABC,29/03/2011,56,21,7.1,45
Channel Zero,4,"Drama,Horror,Suspense,Science Fiction",SyFy,26/10/2018,75,5,7.1,13
Collateral (2018),1,"Drama,Movie/Mini-Series",Netflix,09/03/2018,74,6,7.1,32
Crossbones,1,"Drama,Action & Adventure",NBC,30/05/2014,56,23,7.1,55
Counterpart,2,"Drama,Suspense,Science Fiction",Starz,09/12/2018,75,7,7.1,24
Dancing on the Edge,1,"Drama,Movie/Mini-Series",Starz,19/10/2013,65,14,7.1,8
Damien,1,"Drama,Horror",A&E,07/03/2016,37,18,7.1,120
Evil,1,Drama,CBS,26/09/2019,76,14,7.1,37
Falling Skies,2,"Drama,Action & Adventure,Suspense,Science Fiction",TNT,17/06/2012,64,9,7.1,109
Franklin & Bash ,1,"Comedy,Drama",TNT,01/06/2011,56,21,7.1,42
Private Practice,2,Drama,ABC,01/10/2008,44,9,7.2,18
Zoey's Extraordinary Playlist,1,"Comedy,Drama,Music",NBC,07/01/2020,66,18,7.2,18
Law & Order: UK,1,"Drama,Suspense",ITV1,23/02/2009,81,7,7.2,16
Last Tango in Halifax,1,"Comedy,Drama",PBS,20/11/2012,78,9,7.2,16
Mad Dogs (2016),1,"Comedy,Drama",Amazon Prime,22/01/2016,64,14,7.2,62
Major Crimes,1,Drama,TNT,13/08/2012,65,17,7.2,56
Northern Exposure,1,"Comedy,Drama",CBS,12/07/1990,80,7,7.2,10
Persons Unknown,1,"Drama,Horror,Suspense",NBC,07/06/2010,49,12,7.2,73
666 Park Avenue,1,"Drama,Action & Adventure,Fantasy,Horror,Suspense",ABC,30/09/2012,62,22,7.2,90
All The Way (2016),1,"Drama,Movie/Mini-Series",HBO,21/05/2016,78,27,7.2,44
A Discovery of Witches,1,"Drama,Fantasy",Sundance Now,17/01/2019,66,10,7.2,25
The Deuce,2,Drama,HBO,09/09/2018,86,13,7.2,49
The Glades,1,"Drama,Suspense",A&E,11/07/2010,64,19,7.2,106
The Little Drummer Girl,1,"Drama,Soap,Movie/Mini-Series,Action & Adventure,Suspense",AMC,19/11/2018,75,18,7.2,51
The Player,1,"Drama,Action & Adventure",NBC,24/09/2015,43,26,7.2,56
The Woman in White,1,"Drama,Movie/Mini-Series,Suspense",PBS,21/10/2018,80,5,7.2,10
Too Old to Die Young,1,"Drama,Suspense",Prime Video,14/06/2019,55,8,7.2,43
Timeless (2016),1,"Drama,Action & Adventure,Science Fiction",NBC,03/10/2016,65,29,7.2,204
Those Who Kill,1,"Drama,Action & Adventure,Suspense",A&E,03/03/2014,54,22,7.2,38
XIII,1,"Drama,Action & Adventure,Suspense",NBC,08/02/2009,44,6,7.2,13
Gentleman Jack,1,Drama,HBO,22/04/2019,77,18,7.2,29
Homeland,3,"Drama,Suspense",SHOWTIME,29/09/2013,77,23,7.2,402
Hand of God,1,Drama,Amazon Instant Video,04/09/2015,44,19,7.2,52
Guava Island,1,"Drama,Movie/Mini-Series",Prime Video,13/04/2019,64,8,7.2,51
Grey's Anatomy,5,Drama,ABC,25/09/2008,68,11,7.2,91
Graceland,1,"Drama,Action & Adventure,Suspense",USA,06/06/2013,58,26,7.2,73
Harry's Law,1,"Comedy,Drama",NBC,17/01/2011,48,21,7.2,50
How to Get the Guy,1,"Drama,Reality,Game Show",ABC,12/06/2006,26,8,7.2,37
Houdini,1,"Drama,Movie/Mini-Series",The History Channel,01/09/2014,51,16,7.2,31
Project Blue Book,1,"Drama,Suspense,Science Fiction,Science",A&E,08/01/2019,56,10,7.2,36
Prodigal Son,1,Drama,FOX,23/09/2019,59,12,7.2,25
Red Band Society,1,Drama,FOX,17/09/2014,58,36,7.2,78
Riverdale,1,"Comedy,Drama",The CW,26/01/2017,68,36,7.2,247
Sons of Anarchy,6,"Drama,Action & Adventure",FX,10/09/2013,74,9,7.2,164
Sorry for Your Loss,1,Drama,Facebook Watch,18/09/2018,83,12,7.2,31
Stranger Things,3,"Drama,Horror,Suspense,Science Fiction",Netflix,04/07/2019,72,28,7.2,383
American Odyssey,1,"Drama,Action & Adventure",NBC,05/04/2015,59,17,7.2,54
Billions,2,Drama,SHOWTIME,19/02/2017,67,6,7.2,72
Breaking In,1,"Comedy,Drama",FOX,06/04/2011,54,19,7.2,29
Bodyguard,1,"Drama,Suspense",Netflix,26/08/2018,79,12,7.2,149
Bloodline,2,Drama,Netflix,27/05/2016,60,9,7.2,90
Black Sails,1,"Drama,Action & Adventure",Starz,25/01/2014,58,27,7.2,415
Cold Case,1,"Drama,Suspense,Science",CBS,28/09/2003,66,25,7.2,15
Day Break,1,"Drama,Action & Adventure,Suspense,Science Fiction",ABC,15/11/2006,60,28,7.2,185
Dallas (2012),1,"Drama,Soap",TNT,13/06/2012,63,30,7.2,77
Dexter,5,"Drama,Suspense",SHOWTIME,26/09/2010,76,11,7.2,615
Downton Abbey,5,Drama,PBS,21/09/2014,75,22,7.2,51
Falling Skies,3,"Drama,Action & Adventure,Suspense,Science Fiction",TNT,09/06/2013,65,4,7.2,85
Fosse/Verdon,1,"Drama,Movie/Mini-Series,Music",FX,09/04/2019,68,36,7.2,20
Fortitude,1,"Drama,Action & Adventure,Horror,Suspense",pivot,29/01/2015,75,15,7.2,94
Five Days,1,"Drama,Action & Adventure,Suspense",BBC-1,23/01/2007,80,12,7.2,11
Legend of the Seeker,1,"Drama,Fantasy",Syndicated,01/11/2008,53,7,7.3,163
Legends,1,Drama,TNT,13/08/2014,59,27,7.3,83
Luck,1,Drama,HBO,11/12/2011,75,29,7.3,37
Looking: The Movie,1,Drama,,23/07/2016,71,12,7.3,37
Masters of Sex,2,Drama,SHOWTIME,13/07/2014,89,17,7.3,122
MasterChef,1,"Drama,Reality,Game Show,Food & Cooking",FOX,27/07/2010,61,7,7.3,53
Marvel's The Punisher,2,"Drama,Action & Adventure",Netflix,18/01/2019,58,6,7.3,197
Mildred Pierce,1,Drama,HBO,27/03/2011,69,28,7.3,41
Mrs. America,1,"Drama,Movie/Mini-Series",HULU,15/04/2020,87,35,7.3,25
Night Stalker,1,"Drama,Suspense,Science Fiction",ABC,29/09/2005,48,23,7.3,35
One Day at a Time (2017),4,"Comedy,Drama",Netflix,24/03/2020,84,13,7.3,4
On My Block,1,"Comedy,Drama",Netflix,16/03/2018,69,5,7.3,50
Perception,1,Drama,TNT,09/07/2012,52,21,7.3,59
Political Animals,1,"Drama,Action & Adventure",USA,15/07/2012,65,33,7.3,50
The End of the F***ing World,2,"Comedy,Drama",Netflix,05/11/2019,71,9,7.3,59
The Hills,1,"Drama,Reality",MTV,31/05/2006,52,8,7.3,43
The Good Fight,1,Drama,CBS,19/02/2017,80,25,7.3,105
The Girl,1,"Drama,Movie/Mini-Series",HBO,20/10/2012,66,21,7.3,4
The Man in the High Castle,3,Drama,Amazon Prime,05/10/2018,70,5,7.3,31
The Man in the High Castle,1,Drama,Amazon Prime,20/11/2015,77,30,7.3,355
The Making of the Mob: New York,1,"Drama,Movie/Mini-Series,News/Documentary,Documentary",AMC,15/06/2015,59,6,7.3,10
The OA,1,"Drama,Suspense",Netflix,16/12/2016,61,17,7.3,386
The Unit,1,Drama,CBS,07/03/2006,61,25,7.3,154
The Tunnel,1,Drama,PBS,16/10/2013,69,5,7.3,12
The Strain,2,"Drama,Horror,Suspense,Science Fiction",FX,12/07/2015,66,8,7.3,83
Warrior (2019),1,"Drama,Action & Adventure",Cinemax,05/04/2019,68,9,7.3,26
Weeds,5,"Comedy,Drama",SHOWTIME,08/06/2009,67,5,7.3,86
Weeds,4,"Comedy,Drama",SHOWTIME,16/06/2008,67,10,7.3,87
YOU,2,"Drama,Suspense,Tech & Gaming",LIFETIME,26/12/2019,74,17,7.3,38
Good Girls,1,"Comedy,Drama,Suspense",NBC,26/02/2018,60,21,7.3,51
Giri / Haji,1,"Drama,Suspense",Netflix,10/01/2020,76,4,7.3,26
Game Change,1,Drama,HBO,10/03/2012,74,25,7.3,51
Homeland,7,"Drama,Suspense",SHOWTIME,11/02/2018,65,6,7.3,51
His Dark Materials,1,"Drama,Action & Adventure,Fantasy",HBO,04/11/2019,69,22,7.3,86
Grease: Live,1,"Drama,Music",FOX,31/01/2016,75,23,7.3,45
